98,1,1,0,1,0,0,0,
0,0,0,1,0,1,1,98,
0,0,1,1,0,2,1,96,
0,0,0,2,0,2,2,95,
0,0,3,1,0,4,1,92,
0,0,0,2,0,2,2,95,
0,0,2,2,0,4,2,91,
0,0,0,4,0,4,4,89,
0,0,7,1,0,8,1,84,
0,0,0,2,0,2,2,95,
0,0,2,2,0,4,2,91,
0,0,0,4,0,4,4,89,
0,0,6,2,0,8,2,83,
0,0,0,4,0,4,4,89,
0,0,4,4,0,8,4,81,
0,0,0,8,0,8,8,77,
0,0,15,1,0,16,1,68,
0,0,0,2,0,2,2,95,
0,0,2,2,0,4,2,91,
0,0,0,4,0,4,4,89,
0,0,6,2,0,8,2,83,
0,0,0,4,0,4,4,89,
0,0,4,4,0,8,4,81,
0,0,0,8,0,8,8,77,
0,0,14,2,0,16,2,67,
0,0,0,4,0,4,4,89,
0,0,4,4,0,8,4,81,
0,0,0,8,0,8,8,77,
0,0,12,4,0,16,4,65,
0,0,0,8,0,8,8,77,
0,0,8,8,0,16,8,61,
0,0,0,16,0,16,16,53,
0,0,31,1,0,32,1,36,
0,0,0,2,0,2,2,95,
0,0,2,2,0,4,2,91,
0,0,0,4,0,4,4,89,
0,0,6,2,0,8,2,83,
0,0,0,4,0,4,4,89,
0,0,4,4,0,8,4,81,
0,0,0,8,0,8,8,77,
0,0,14,2,0,16,2,67,
0,0,0,4,0,4,4,89,
0,0,4,4,0,8,4,81,
0,0,0,8,0,8,8,77,
0,0,12,4,0,16,4,65,
0,0,0,8,0,8,8,77,
0,0,8,8,0,16,8,61,
0,0,0,16,0,16,16,53,
0,0,30,2,0,32,2,35,
0,0,0,4,0,4,4,89,
0,0,4,4,0,8,4,81,
0,1,0,7,1,6,7,79,
0,1,11,3,1,13,3,69,
0,0,0,7,0,7,7,80,
0,0,7,7,0,14,7,66,
0,1,0,13,1,12,13,61,
0,1,23,3,1,25,3,45,
0,0,0,7,0,7,7,80,
0,0,7,7,0,14,7,66,
0,1,0,13,1,12,13,61,
0,1,20,6,1,25,6,42,
0,0,0,13,0,13,13,62,
0,0,13,13,0,26,13,36,
0,1,0,25,1,24,25,25,
0,1,50,0,1,49,0,0,
0,0,0,1,0,1,1,98,
0,0,1,1,0,2,1,96,
0,0,0,2,0,2,2,95,
0,0,3,1,0,4,1,92,
0,0,0,2,0,2,2,95,
0,0,2,2,0,4,2,91,
0,0,0,4,0,4,4,89,
0,0,7,1,0,8,1,84,
0,0,0,2,0,2,2,95,
0,0,2,2,0,4,2,91,
0,0,0,4,0,4,4,89,
0,0,6,2,0,8,2,83,
0,0,0,4,0,4,4,89,
0,0,4,4,0,8,4,81,
0,0,0,8,0,8,8,77,
0,0,15,1,0,16,1,68,
0,0,0,2,0,2,2,95,
0,0,2,2,0,4,2,91,
0,0,0,4,0,4,4,89,
0,0,6,2,0,8,2,83,
0,0,0,4,0,4,4,89,
0,0,4,4,0,8,4,81,
0,0,0,8,0,8,8,77,
0,0,14,2,0,16,2,67,
0,0,0,4,0,4,4,89,
0,0,4,4,0,8,4,81,
0,0,0,8,0,8,8,77,
0,0,12,4,0,16,4,65,
0,0,0,8,0,8,8,77,
0,0,8,8,0,16,8,61,
0,0,0,16,0,16,16,53,
0,0,31,1,0,32,1,36,
0,0,0,2,0,2,2,95,
0,0,2,2,0,4,2,91,
0,0,0,4,0,4,4,89,
